"combo","pop"
"Y/A_B/B",2
"Y/A_G/G",10
"Y/A_K/K",2
"Y/A_W/W",2
"Y/A_O/O",2
"Y/A_R/B",2
"Y/A_R/G",2
"Y/A_R/K",2
"Y/A_R/W",2
"_A",2
"Y/A_B/G",2
"Y/A_B/K",2
"Y/A_B/W",2
"Y/A_B/O",2
"Y/A_G/K",2
"Y/A_G/W",2
"Y/A_G/O",9
"A/R_R/R",2
"A/B_B/B",2
"A/G_G/G",2
"A/K_K/K",9
"A/W_W/W",9
"A/G_R/B",9
"A/W_B/G",9
"A/B_R/R",9
"A/G_R/R",9
"A/W_R/R",9
"A/R_B/B",9
"A/Y_R/R",9
"A/G_Y/Y",9
"E/A_",2
"U/A_E",2
"R/A_E",2
"A_",2
"E/A_B",2
"E/A_G",2
"E/A_Y",2
"E/A_W",2
"E/A_K",10
"E/A_U",10
"E/A_W/K",9
"E/A_W/Y",9
"E/A_W/B",9
"E/A_W/R",2
"E/A_W/G",2
"E/A_K/Y",2
"E/A_K/B",2
"E/A_K/R",2
"E/A_K/G",9
"E/A_Y/B",9
"E/A_Y/R",9
"E/A_Y/G",9
"E/A_B/R",9
"E/A_B/G",9
"E/A_R/G",9
"G/A_E/G",2
"B/A_E/B",2
"R/A_E/R",2
"W/A_E/W",2
"K/A_E/K",9
"Y/A_E/Y",9
"K/A_E/W",10
"Y/A_E/W",2
"B/A_E/W",2
"R/A_E/W",10
"B/A_E/Y",9
"R/A_E/Y",9
"G/A_E/Y",9
"U/A_R/B",9
"U/A_R/G",2
"U/A_R/R",2
"U/A_B/B",2
"U/A_G/G",2
"U/A_K/K",2
"U/A_W/W",2
"U/A_Y/Y",9
"U/A_E/E",9
"U/A_R/B",9
"U/A_R/G",9
"W/R_U/A",2
"K/R_U/A",2
"Y/R_U/A",2
"R_A",9
"B_A",9
"B/R_U/A",2
"G/U_G/A",2
"B/U_B/A",2
"Y/U_Y/A",9
"W/U_W/A",9
"R/U_R/A",9
"K/U_K/A",9
"K/W_B/A",9
"K/Y_B/A",9
"K/G_B/A",9
"K/R_B/A",9
"K/U_B/A",10
"U/R_G/A",9
"A_",9
"U/B_G/A",9
"U/W_G/A",9
"U/K_G/A",2
"U/Y_G/A",2
"U/E_G/A",9
"U/K_R/A",9
"U/W_R/A",9
"U/Y_R/A",9
"U/G_R/A",9
"U/B_R/A",9
"U/W_K/A",9
"U/Y_K/A",9
"U/R_K/A",2
"U/B_K/A",2
"U/G_K/A",9
"A/W_K/A",9
"A/Y_K/W",9
"A/R_K/W",9
"A/B_K/W",9
"A/E_K/W",9
"A/R_",9.5
"A_G",9.5
"A_B",9.5
"A_K",9.5
"A_Y",9.5
"A_W",9.5
"A_O",9.5
"A_B/R",9.5
"A_R/G",9.5
"A_G/W",9.5
"A_W/K",9.5
"A_R",9.5
"A_K/Y",9.5
"A_Y/O",9.5
"A_B/B",9.5
"A_R/R",9.5
"A_G/G",9.5
"A_Y/Y",9.5
"A_W/W",9.5
"A_K/K",9.5
"A_R",9.5
"B_A",9.5
"G_A",9.5
"K_A",9.5
"R/B_A/E",10
"R/G_A/E",9
"B/G_A/E",2
"W_A",9.5
"A/Y_",9.5
"O_A",9.5
"R_A",9.5
"Y_A",9.5
"B/A_",9.5
"R/B_E/A",9
"A/E_B/G",9
"G/W_A/E",9
"R/A_",3
"B/A_",3
"G/A_",3
"K/A_",3
"W/A_",3
"Y/A_",3
"O/A_",3
"A_R",3
"A_B",3
"A_G",3
"A_K",3
"A_W",3
"A_Y",3
"A_O",3
"R_A",3
"B_A",3
"G_A",3
"K_A",3
"R_A/E",2
"B_A/E",2
"B/G_A/R",2
"G/G_A/B",2
"R/R_A/B",9
"B/W_A/Y",9
"W/G_A/R",9
"W/G_A/G",9
"G/B_A/W",9
"B/B_A/K",9
"Y/Y_A/Y",9
"W_A",3
"Y_A",3
"O_A",3
"_R",3
"_B/A",3
"_A",3
"_K/A",3
"_Y/A",3
"_O/A",3
"W/W_A/Y",2
"W/B_A/Y",2
"W/G_A/Y",2
"R/W_A/G",9
